Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,0.04,0.56,0.13,23.1,0.56,0.13,0.08,0.33,21.0,0.00,0.00,0.00,0.05,0.05,0.09,-0.01,-0.01,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,0.00,0.93,0.25,26.7,0.93,0.25,0.00,0.00,10.9,0.00,0.00,0.00,0.07,0.07,0.08,-0.07,-0.07,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,0.22,1.96,0.58,29.6,1.96,0.58,0.11,0.38,18.5,0.00,0.00,0.00,0.19,0.19,0.10,0.03,0.03,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,0.10,1.87,0.67,36.1,1.86,0.67,0.06,0.15,17.2,0.00,0.00,0.00,0.20,0.20,0.10,-0.09,-0.09,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,0.00,4.12,1.76,42.9,4.04,1.73,0.00,0.00,15.7,0.00,0.00,0.00,0.41,0.41,0.10,-0.41,-0.41,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,0.50,3.04,1.24,40.8,3.04,1.24,0.16,0.40,16.3,0.00,0.00,0.00,0.37,0.37,0.12,0.13,0.13,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,0.09,1.07,0.23,21.7,1.07,0.23,0.09,0.40,17.1,0.00,0.00,0.00,0.09,0.09,0.08,0.00,0.00,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,0.36,2.20,0.85,38.8,2.20,0.85,0.16,0.42,14.3,0.00,0.00,0.00,0.29,0.29,0.13,0.07,0.07,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,0.58,3.98,1.75,43.9,3.97,1.74,0.15,0.33,14.6,0.00,0.00,0.00,0.52,0.52,0.13,0.06,0.06,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,0.18,1.93,0.79,40.9,1.93,0.79,0.09,0.22,15.6,0.00,0.00,0.00,0.23,0.23,0.12,-0.05,-0.05,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,0.27,0.54,0.54,100.0,0.54,0.54,0.50,0.50,9.5,0.00,0.00,0.00,0.05,0.05,0.08,0.22,0.22,Matches,7367baf7
