Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,2.39,2.39,1.92,0.17,0.09,0.04,0.00,0.17,0.26,0.26,0.17,0.04,0.00,0.04,0.00,0.00,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,0.68,0.68,0.37,0.06,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,2.75,2.76,2.17,0.07,0.22,0.14,0.07,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,3.32,3.26,1.71,0.47,0.47,0.31,0.21,0.16,0.52,0.51,0.26,0.00,0.16,0.00,0.10,0.00,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,1.18,1.16,0.59,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,2.86,2.85,1.99,0.00,0.19,0.37,0.25,0.06,0.12,0.12,0.06,0.00,0.00,0.06,0.00,0.00,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,2.57,2.56,2.01,0.05,0.14,0.09,0.19,0.09,0.33,0.33,0.23,0.00,0.00,0.05,0.00,0.05,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,2.96,2.96,1.57,0.00,0.63,0.18,0.54,0.04,0.67,0.67,0.36,0.00,0.13,0.04,0.13,0.00,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,2.43,2.42,1.46,0.00,0.10,0.49,0.39,0.00,0.29,0.29,0.10,0.00,0.00,0.19,0.00,0.00,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,2.46,2.46,1.67,0.00,0.44,0.26,0.09,0.00,0.26,0.26,0.00,0.00,0.09,0.09,0.09,0.00,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,0.27,0.27,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,2.55,2.54,2.45,0.00,0.09,0.00,0.00,0.00,0.27,0.27,0.27,0.00,0.00,0.00,0.00,0.00,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,1.47,1.48,1.28,0.13,0.00,0.00,0.06,0.00,0.13,0.13,0.06,0.00,0.00,0.00,0.06,0.00,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,2.40,2.40,2.00,0.00,0.00,0.40,0.00,0.00,0.80,0.80,0.40,0.00,0.00,0.40,0.00,0.00,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,2.86,2.86,2.38,0.19,0.10,0.19,0.00,0.00,0.57,0.57,0.57,0.00,0.00,0.00,0.00,0.00,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,1.61,1.61,1.38,0.03,0.00,0.10,0.03,0.07,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,3.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,2.65,2.65,1.51,0.00,0.24,0.66,0.18,0.06,0.24,0.24,0.06,0.00,0.00,0.00,0.12,0.06,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,1.07,1.07,1.04,0.00,0.00,0.00,0.00,0.03,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,2.16,2.16,1.90,0.23,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,4.94,4.94,3.09,0.37,0.99,0.37,0.12,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,2.48,2.48,2.03,0.00,0.15,0.03,0.12,0.15,0.12,0.12,0.09,0.00,0.03,0.00,0.00,0.00,Matches,ec604e2c
