Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,1.84,1.20,1.11,0.60,0.13,1.03,1.62,63.2,0.60,0.77,0.13,0.64,1.67,3.50,2.31,0.00,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,1.06,0.75,0.87,0.19,0.00,0.50,0.62,80.0,0.12,1.12,0.75,0.37,1.37,2.42,6.15,0.00,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,2.46,1.59,1.09,0.94,0.43,0.87,1.59,54.5,0.72,1.30,0.00,1.30,0.94,3.41,0.80,0.00,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,1.66,1.24,0.88,0.41,0.36,0.78,2.02,38.5,1.24,0.88,0.26,0.62,0.52,2.18,0.62,0.00,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,0.59,0.59,0.59,0.00,0.00,0.59,2.35,25.0,1.76,1.18,0.00,1.18,2.35,2.94,0.00,0.59,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,0.75,0.50,0.06,0.37,0.31,0.37,0.81,46.2,0.43,0.93,0.00,0.93,0.12,0.87,0.50,0.00,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,2.34,0.98,0.93,1.03,0.37,0.89,1.73,51.4,0.84,1.50,0.23,1.26,1.31,3.64,1.68,0.05,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,0.99,0.49,0.04,0.63,0.31,0.54,1.12,48.0,0.58,0.90,0.13,0.76,0.18,1.17,0.49,0.00,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,0.39,0.10,0.00,0.29,0.10,0.19,0.68,28.6,0.49,0.97,0.19,0.78,0.39,0.78,0.78,0.00,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,1.67,0.79,0.70,0.70,0.26,0.96,2.89,33.3,1.93,1.75,0.09,1.67,0.26,1.93,0.26,0.00,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,1.08,0.81,0.54,0.54,0.00,0.81,1.08,75.0,0.27,2.16,2.16,0.00,2.16,3.24,4.05,0.00,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,3.55,2.00,1.73,1.55,0.27,1.91,3.73,51.2,1.82,1.27,0.36,0.91,1.00,4.55,1.27,0.00,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,2.24,1.41,1.60,0.58,0.06,1.47,2.24,65.7,0.77,1.03,0.51,0.51,1.92,4.17,2.31,0.00,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,2.00,0.40,1.20,0.00,0.80,1.20,2.40,50.0,1.20,2.00,0.00,2.00,2.40,4.40,0.80,0.00,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,1.43,0.86,0.38,0.86,0.19,0.95,2.10,45.5,1.14,0.95,0.10,0.86,0.48,1.90,0.76,0.00,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,1.55,0.99,0.69,0.69,0.16,0.79,1.64,48.0,0.86,0.79,0.23,0.56,0.82,2.37,1.45,0.03,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,2.00,2.00,1.00,1.00,0.00,1.00,3.00,33.3,2.00,2.00,0.00,2.00,2.00,4.00,1.00,0.00,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,1.08,0.66,0.24,0.54,0.30,0.24,0.90,26.7,0.66,0.42,0.00,0.42,0.18,1.27,0.54,0.00,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,0.83,0.48,0.59,0.21,0.03,0.45,1.00,44.8,0.55,0.97,0.59,0.38,0.97,1.80,2.28,0.00,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.06,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,1.23,0.81,0.81,0.29,0.13,0.94,1.71,54.7,0.77,0.71,0.16,0.55,0.42,1.65,2.48,0.03,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.20,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,3.09,2.10,0.74,1.73,0.62,1.48,3.58,41.4,2.10,1.11,0.49,0.62,0.62,3.70,1.11,0.00,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,1.64,1.13,0.66,0.90,0.09,0.72,1.76,40.7,1.04,1.07,0.36,0.72,1.07,2.72,0.60,0.03,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,0.49,0.49,0.12,0.37,0.00,0.00,0.99,0.0,0.99,0.74,0.00,0.74,0.37,0.86,0.49,0.00,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,0.75,0.38,0.38,0.38,0.00,0.19,1.13,16.7,0.94,1.13,0.19,0.94,0.19,0.94,0.75,0.00,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,1.29,0.50,0.89,0.20,0.20,0.50,1.19,41.7,0.69,0.69,0.30,0.40,0.40,1.68,0.79,0.00,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,1.15,0.84,0.68,0.37,0.10,0.47,0.84,56.3,0.37,0.79,0.31,0.47,0.52,1.68,1.31,0.00,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,1.08,0.39,0.69,0.20,0.20,0.69,1.37,50.0,0.69,1.27,0.98,0.29,1.67,2.75,1.86,0.10,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,5.56,3.33,2.22,2.22,1.11,2.22,4.44,50.0,2.22,2.22,0.00,2.22,0.00,5.56,0.00,0.00,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,1.00,0.75,0.75,0.25,0.00,0.75,0.88,85.7,0.13,1.25,0.88,0.38,0.75,1.75,6.50,0.00,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,1.62,1.05,0.47,0.64,0.51,0.71,1.39,51.2,0.68,1.11,0.07,1.05,0.24,1.86,0.64,0.00,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,2.50,1.50,1.00,1.00,0.50,0.50,4.50,11.1,4.00,2.00,0.50,1.50,0.50,3.00,3.50,0.00,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,0.94,0.58,0.39,0.35,0.19,0.42,1.10,38.2,0.68,1.03,0.26,0.77,0.48,1.42,0.52,0.00,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,1.64,0.96,0.55,0.96,0.14,0.41,2.33,17.6,1.92,1.37,0.14,1.23,1.37,3.01,0.27,0.00,Matches,60990b81
