Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,42.1,54.8,76.9,730.3,295.7,20.0,22.8,88.0,17.6,22.1,79.7,3.89,7.74,50.3,0.09,0.09,0.07,-0.01,1.32,4.49,0.68,0.26,5.94,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,33.5,41.1,81.6,649.8,250.8,11.4,12.9,88.5,17.7,20.3,87.2,3.48,5.78,60.2,0.00,0.02,0.01,-0.02,0.19,0.93,0.00,0.00,1.24,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,37.8,45.9,82.5,498.3,109.4,23.0,25.4,90.6,11.4,13.4,85.4,1.09,2.10,51.7,0.00,0.06,0.11,-0.06,1.01,2.46,2.10,0.14,5.22,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,14.4,23.0,62.4,218.5,59.9,7.77,10.2,76.1,4.40,6.63,66.4,1.09,2.38,45.7,0.21,0.15,0.16,0.06,1.55,1.04,0.88,0.47,1.50,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,7.65,14.1,54.2,81.2,17.1,5.29,7.65,69.2,1.76,2.35,75.0,0.00,0.59,0.0,0.00,0.06,0.00,-0.06,0.59,0.00,0.00,0.00,0.00,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,15.8,23.9,66.2,186.8,32.9,10.6,14.6,72.3,3.60,5.47,65.9,0.06,0.19,33.3,0.06,0.10,0.09,-0.04,1.06,0.62,0.62,0.06,1.80,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,43.9,51.9,84.6,780.2,238.3,19.7,22.7,87.0,18.0,20.0,90.2,4.95,6.31,78.5,0.09,0.07,0.07,0.02,0.98,5.84,0.70,0.14,6.73,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,13.4,20.4,65.5,188.9,41.4,7.85,10.3,76.1,3.99,5.87,67.9,0.76,1.12,68.0,0.22,0.11,0.09,0.12,0.94,1.08,0.85,0.13,2.06,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,11.3,14.5,77.9,156.2,19.0,6.41,7.57,84.6,3.88,4.66,83.3,0.29,0.49,60.0,0.10,0.07,0.07,0.03,0.68,0.39,0.29,0.10,0.78,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,16.8,24.4,69.1,245.0,75.0,10.1,12.9,78.2,5.61,7.46,75.3,0.61,1.49,41.2,0.00,0.11,0.06,-0.11,1.32,0.88,0.79,0.26,2.54,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,38.4,44.1,87.1,684.1,203.8,15.9,17.3,92.2,20.0,22.4,89.2,1.89,3.78,50.0,0.00,0.00,0.00,0.00,0.00,1.62,0.00,0.00,1.62,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,44.5,52.6,84.5,814.5,268.5,18.0,19.4,93.0,21.7,24.6,88.2,4.18,6.91,60.5,0.00,0.04,0.05,-0.04,0.82,5.18,0.45,0.00,6.27,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,37.8,45.0,84.0,612.8,212.9,19.6,21.0,93.0,15.2,17.3,87.8,2.50,4.10,60.9,0.00,0.04,0.06,-0.04,0.64,2.24,0.83,0.77,3.40,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,46.0,55.2,83.3,610.4,238.4,25.6,29.2,87.7,13.6,16.8,81.0,1.60,2.40,66.7,0.00,0.04,0.04,-0.04,1.60,3.20,0.80,0.40,4.40,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,35.4,43.0,82.5,519.6,149.5,20.4,22.0,92.6,11.5,14.3,80.7,2.00,3.05,65.6,0.10,0.09,0.16,0.01,1.14,3.71,1.81,0.95,5.24,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,58.3,68.5,85.2,1098.8,321.1,24.2,26.5,91.4,26.5,29.3,90.4,6.91,10.9,63.4,0.00,0.03,0.06,-0.03,0.63,7.43,0.69,0.03,6.61,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,32.0,42.0,76.2,542.0,141.0,17.0,20.0,85.0,12.0,15.0,80.0,3.00,6.00,50.0,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,15.1,20.7,72.7,203.8,34.0,8.67,11.1,78.3,4.22,5.48,76.9,0.84,1.20,70.0,0.00,0.08,0.09,-0.08,0.60,1.39,0.60,0.06,2.23,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,64.8,74.1,87.4,1250.8,442.0,22.0,23.9,92.0,34.1,37.4,91.2,7.68,10.8,71.2,0.07,0.08,0.05,-0.01,0.38,4.33,0.45,0.07,5.09,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,20.6,21.9,94.2,481.5,341.9,5.96,5.96,100.0,8.30,8.30,100.0,5.96,7.23,82.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,23.9,32.7,73.2,638.8,431.6,4.88,4.88,100.0,11.7,11.9,98.0,7.18,15.6,46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,33.0,40.0,82.5,1076.0,801.0,2.00,2.00,100.0,14.0,14.0,100.0,16.0,23.0,69.6,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,43.9,54.3,80.8,830.9,307.0,18.4,20.0,92.2,19.0,22.8,83.5,6.03,9.61,62.8,0.03,0.09,0.10,-0.06,0.97,3.90,0.97,0.71,4.97,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,14.8,27.0,54.8,576.6,492.4,1.80,1.80,100.0,4.20,4.20,100.0,8.80,21.0,41.9,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,32.2,45.1,71.5,518.6,164.3,17.5,21.7,80.7,9.38,12.0,78.4,3.70,6.54,56.6,0.12,0.15,0.14,-0.02,1.85,4.57,1.98,0.49,6.79,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,67.7,73.4,92.3,1027.1,307.4,37.9,39.9,95.0,23.0,24.2,94.9,4.45,5.37,82.8,0.03,0.05,0.06,-0.02,0.84,6.54,0.33,0.09,5.97,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,13.8,20.4,67.9,187.2,36.8,9.38,12.3,76.0,3.70,5.43,68.2,0.49,0.74,66.7,0.00,0.02,0.09,-0.02,0.62,0.99,0.00,0.00,1.23,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,13.3,23.3,57.1,113.3,83.3,13.3,13.3,100.0,0.00,3.33,0.0,0.00,6.67,0.0,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,3.33,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,16.0,22.1,72.6,218.9,53.4,10.0,13.2,75.7,3.96,5.09,77.8,1.13,1.51,75.0,0.19,0.15,0.06,0.04,0.94,1.51,0.00,0.00,1.70,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,9.80,14.5,67.8,138.2,50.7,5.64,6.93,81.4,3.17,5.05,62.7,0.40,0.99,40.0,0.10,0.04,0.04,0.06,0.40,0.30,0.40,0.30,0.30,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,68.1,79.3,85.8,1088.0,355.3,36.9,39.6,93.3,26.2,29.3,89.6,3.87,7.17,54.0,0.16,0.20,0.23,-0.04,1.83,6.39,1.62,0.94,7.38,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,50.9,57.5,88.4,1000.3,380.9,16.6,18.2,90.9,27.5,29.7,92.4,6.18,8.14,75.9,0.00,0.04,0.08,-0.04,0.69,9.71,0.20,0.10,7.65,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,77.8,94.4,82.4,1042.2,204.4,47.8,48.9,97.7,21.1,31.1,67.9,2.22,4.44,50.0,3.33,0.89,0.78,2.44,4.44,2.22,2.22,1.11,6.67,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,46.3,52.9,87.5,978.3,315.8,11.3,12.1,92.8,26.6,29.9,89.1,6.75,8.88,76.1,0.00,0.01,0.00,-0.01,0.13,1.75,0.00,0.00,2.25,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,51.9,62.5,83.0,679.3,197.1,32.9,35.8,92.0,12.6,15.4,82.0,2.40,5.10,47.0,0.34,0.24,0.22,0.10,2.43,3.99,1.72,0.30,5.78,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,29.0,43.5,66.7,482.0,187.0,13.0,15.0,86.7,13.5,17.0,79.4,2.00,7.00,28.6,0.00,0.00,0.10,0.00,0.00,2.00,2.00,0.00,5.00,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,26.8,37.5,71.5,428.1,111.9,13.1,15.9,82.4,9.90,12.8,77.1,2.29,5.42,42.3,0.19,0.19,0.18,0.00,2.48,1.68,1.39,0.42,3.61,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,33.6,44.5,75.4,599.2,155.3,15.2,16.8,90.2,13.7,17.7,77.5,3.70,6.85,54.0,0.00,0.10,0.10,-0.10,1.64,4.11,1.10,0.14,5.89,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,3.75,3.75,100.0,52.5,6.25,2.50,2.50,100.0,1.25,1.25,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,13.7,23.3,58.7,199.1,44.8,7.38,9.44,78.2,5.16,8.41,61.3,0.48,2.22,21.4,0.08,0.16,0.13,-0.08,1.11,0.63,0.56,0.40,1.03,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,53.8,66.0,81.6,919.7,264.9,26.3,29.7,88.6,20.4,23.6,86.4,5.71,9.29,61.4,0.19,0.24,0.17,-0.04,2.37,7.05,0.90,0.00,8.91,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,26.9,34.1,78.9,491.0,149.9,11.5,13.7,84.0,11.9,14.2,83.7,3.05,4.63,65.8,0.00,0.01,0.01,-0.01,0.24,2.56,0.18,0.00,2.68,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,42.1,51.2,82.3,679.8,263.0,21.2,22.8,92.9,17.4,20.5,85.2,2.56,4.88,52.4,0.00,0.07,0.05,-0.07,1.16,3.72,0.70,0.23,4.42,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,30.4,43.6,69.7,519.8,290.7,14.9,17.8,83.6,12.7,18.8,67.8,2.60,5.42,48.1,0.21,0.10,0.08,0.10,0.83,4.90,0.42,0.42,4.90,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,23.2,33.4,69.5,366.2,111.2,12.3,15.7,78.1,7.27,9.92,73.3,2.13,3.79,56.3,0.08,0.12,0.10,-0.04,1.42,2.02,1.03,0.12,4.31,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,16.7,22.2,75.0,233.3,37.8,8.89,12.2,72.7,6.67,8.89,75.0,0.00,0.00,,0.00,0.11,0.00,-0.11,4.44,3.33,0.00,0.00,2.22,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,0.00,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,25.0,48.3,51.7,450.0,168.3,13.3,26.7,50.0,10.0,16.7,60.0,1.67,1.67,100.0,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,5.00,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,40.8,51.8,78.9,813.8,381.4,12.1,14.2,85.3,24.4,27.3,89.3,4.00,8.58,46.6,0.00,0.00,0.02,0.00,0.00,1.83,0.00,0.00,2.83,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,36.4,42.7,85.1,640.9,229.5,14.3,15.9,90.0,16.8,18.0,93.7,3.18,5.68,56.0,0.00,0.00,0.00,0.00,0.23,1.14,0.23,0.00,0.68,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,17.4,26.6,65.4,276.1,65.2,9.52,11.8,80.5,5.63,8.33,67.6,1.27,2.30,55.2,0.08,0.20,0.17,-0.12,1.11,1.67,0.32,0.08,2.06,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,42.3,47.9,88.3,781.9,215.1,18.0,19.7,91.1,18.5,20.0,92.5,5.08,6.21,81.9,0.08,0.06,0.05,0.02,0.71,4.50,0.46,0.04,5.04,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,33.3,42.8,77.9,602.2,173.9,13.9,17.2,80.6,17.2,20.0,86.1,2.22,4.44,50.0,0.00,0.06,0.00,-0.06,1.67,6.67,0.00,0.00,5.00,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,25.8,31.8,81.3,416.2,97.0,13.2,14.8,88.7,9.87,11.2,87.8,1.94,3.17,61.1,0.04,0.20,0.23,-0.16,1.32,2.20,2.16,0.26,5.02,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,21.5,33.1,64.9,370.2,109.2,10.2,15.1,67.7,7.79,10.3,75.3,2.33,3.84,60.6,0.12,0.13,0.20,-0.01,0.70,1.63,1.05,0.00,3.72,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,26.2,40.4,65.0,505.9,250.2,10.2,12.9,78.9,11.4,16.0,71.4,4.12,9.21,44.8,0.09,0.07,0.11,0.02,0.96,2.19,0.96,0.44,2.54,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,6.67,13.3,50.0,56.7,43.3,3.33,3.33,100.0,0.00,3.33,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,11d91ea7
