Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,63.2,3.59,18.5,31.5,13.7,0.98,63.2,0.64,0.38,60.0,0.26,40.0,30.6,131.5,69.2,1.24,1.07,0.21,0.73,0.51,34.7,2.91,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,53.2,8.76,30.4,20.8,2.24,1.55,53.2,0.12,0.12,100.0,0.00,0.0,25.5,117.0,51.4,0.19,0.06,0.06,0.37,0.00,28.7,0.12,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,59.4,0.72,6.01,27.5,27.0,3.26,59.4,5.58,3.12,55.8,2.10,37.7,40.4,266.0,133.3,4.06,3.04,0.94,2.97,1.45,47.5,7.90,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,34.1,0.98,5.49,12.2,17.5,3.68,34.1,3.21,1.61,50.0,1.35,41.9,19.7,193.2,116.0,4.51,2.59,1.14,1.97,1.24,23.0,6.53,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,28.2,0.00,2.94,10.6,17.1,5.29,28.2,1.76,0.00,0.0,1.18,66.7,16.5,167.1,107.1,4.71,1.76,1.76,4.12,1.76,17.1,5.88,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,37.1,0.81,1.80,16.2,19.4,4.41,37.1,1.99,0.43,21.9,1.30,65.6,20.9,93.7,36.6,1.74,1.12,0.56,3.66,1.49,29.3,7.14,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,64.0,2.76,13.1,36.7,15.0,1.45,64.0,1.36,0.65,48.3,0.51,37.9,36.9,227.9,97.0,1.78,1.54,0.14,2.01,0.89,40.0,2.99,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,33.6,0.49,1.97,15.1,17.0,5.16,33.6,3.68,2.60,70.7,0.85,23.2,21.5,110.7,39.4,1.70,0.94,1.03,4.80,2.33,27.0,7.35,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,26.2,0.87,2.04,10.9,13.5,4.76,26.2,0.87,0.49,55.6,0.39,44.4,15.5,68.8,19.1,0.49,0.39,0.10,2.62,1.46,17.6,5.34,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,38.5,0.35,5.00,15.6,18.6,3.25,38.5,4.47,1.67,37.3,2.72,60.8,24.0,158.2,73.9,2.72,1.75,0.61,2.11,1.84,26.3,8.86,Matches,611e984e
