Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,0.26,0.00,0.00,1.11,0.51,0.04,2.09,1.67,1.20,0.00,0.00,0.00,6.37,0.90,1.20,42.9,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,0.06,0.00,0.00,0.62,0.25,0.12,0.00,1.37,0.75,0.00,0.00,0.06,3.48,4.72,2.11,69.1,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,0.14,0.00,0.00,1.81,1.45,0.22,1.09,0.94,1.59,0.00,0.00,0.00,3.91,0.58,1.38,29.6,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,0.16,0.00,0.00,1.71,1.24,0.05,4.20,0.52,1.24,0.00,0.00,0.00,3.11,1.09,1.19,47.7,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,0.59,0.00,0.00,0.59,0.59,0.00,1.76,2.35,0.59,0.00,0.00,0.00,2.94,2.35,5.29,30.8,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,0.25,0.06,0.06,1.61,2.05,0.43,0.56,0.12,0.50,0.00,0.00,0.00,2.30,2.30,3.04,43.0,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,0.09,0.05,0.00,2.15,2.34,0.00,1.07,1.31,0.98,0.00,0.09,0.00,8.60,1.26,1.36,48.2,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,0.13,0.00,0.00,2.51,2.91,0.09,0.54,0.18,0.49,0.13,0.00,0.00,2.11,2.38,3.63,39.6,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,0.29,0.00,0.00,1.07,1.46,0.49,0.19,0.39,0.10,0.00,0.00,0.00,1.94,0.97,2.82,25.6,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,0.26,0.00,0.00,1.58,0.61,0.00,2.89,0.26,0.79,0.00,0.00,0.00,3.60,1.40,2.37,37.2,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,0.27,0.00,0.00,0.54,1.08,0.00,0.00,2.16,0.81,0.00,0.00,0.00,5.14,2.43,1.08,69.2,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,0.27,0.09,0.09,2.09,1.09,0.00,0.45,1.00,2.00,0.00,0.00,0.00,7.45,0.45,1.00,31.3,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,0.32,0.00,0.00,1.15,0.32,0.06,2.50,1.92,1.41,0.00,0.00,0.00,4.62,1.41,1.28,52.4,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,0.00,0.00,0.00,0.80,1.20,0.00,2.00,2.40,0.40,0.00,0.00,0.00,5.60,0.80,0.80,50.0,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,0.48,0.00,0.00,1.33,1.62,0.00,3.14,0.48,0.86,0.00,0.00,0.00,4.00,0.95,1.24,43.5,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,0.33,0.00,0.00,1.55,0.86,0.03,0.36,0.82,0.99,0.00,0.03,0.00,5.53,0.53,0.20,72.7,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,0.00,0.00,0.00,2.00,3.00,0.00,3.00,2.00,2.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,0.42,0.00,0.00,2.29,0.78,0.78,0.30,0.18,0.66,0.06,0.00,0.00,2.41,1.45,3.25,30.8,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,0.14,0.00,0.00,0.59,0.28,0.03,0.24,0.97,0.48,0.00,0.07,0.00,5.12,2.63,1.25,67.9,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.76,0.12,0.06,66.7,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,0.13,0.00,0.00,0.77,0.19,0.00,3.55,0.42,0.81,0.00,0.00,0.00,5.81,0.39,1.03,27.3,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,0.20,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.80,0.20,80.0,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,0.62,0.25,0.12,2.59,1.85,0.00,3.58,0.62,2.10,0.00,0.00,0.00,5.19,2.10,2.35,47.2,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,0.30,0.03,0.03,1.13,1.61,0.00,0.15,1.07,1.13,0.00,0.03,0.00,7.55,0.27,0.60,31.0,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,0.25,0.00,0.00,1.98,2.59,0.12,0.25,0.37,0.49,0.00,0.00,0.00,3.58,1.48,3.70,28.6,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,0.00,0.00,0.00,0.38,1.32,0.75,0.19,0.19,0.38,0.00,0.00,0.00,3.21,1.32,3.40,28.0,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,0.30,0.00,0.00,2.08,1.68,0.20,1.19,0.40,0.50,0.10,0.00,0.00,3.76,1.68,2.38,41.5,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,0.21,0.00,0.00,1.36,0.79,0.10,4.66,0.52,0.84,0.00,0.05,0.00,5.81,0.58,0.63,47.8,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,0.10,0.00,0.00,1.18,0.59,0.00,0.39,1.67,0.39,0.00,0.00,0.00,5.78,2.16,1.47,59.5,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,1.11,0.00,0.00,1.11,5.56,0.00,7.78,0.00,3.33,0.00,0.00,0.00,8.89,1.11,2.22,33.3,Matches,1159e4ae
